Longitude,Latitude,House_Age,Total_Rooms,Total_Bedrooms,Bathrooms,Parking,Dist_Mall_KM,Dist_Metro_KM,Price_Crore
72.8533,18.8875,0,3,2,3,2,0.83,0.69,12.28
72.8328,19.0328,15,2,1,1,0,5.19,4.66,5.51
72.8102,18.9941,14,4,2,3,1,0.5,0.37,11.45
72.8317,18.9706,9,4,3,3,2,1.23,1.36,24.45
72.8987,18.951,0,4,2,3,1,4.03,3.35,18.73
72.8801,18.9405,15,2,1,1,0,21.48,14.86,1.26
72.8557,19.0322,0,2,1,1,1,4.5,3.44,8.55
72.7958,19.0083,9,4,2,2,1,5.2,3.77,8.12
72.8316,18.9541,2,4,3,3,1,3.08,3.46,20.67
72.791,18.9544,1,3,2,2,0,4.34,3.44,6.53
72.7989,19.0414,1,3,1,1,1,12.24,10.5,2.48
72.8035,19.0561,2,3,2,2,1,1.39,1.26,9.54
72.7985,18.9913,25,3,1,1,1,1.71,2.05,4.8
72.8288,19.0061,25,4,3,3,1,0.73,0.49,18.06
72.7859,18.9869,10,4,3,4,0,1.77,1.27,11.61
72.8679,18.8795,16,4,2,2,1,5.05,3.51,7.43
72.8368,18.9002,30,3,1,1,1,1.78,1.58,5.18
72.7966,18.8805,0,4,3,3,2,2.69,2.69,13.64
72.8022,18.8819,14,2,1,1,1,0.8,0.63,4.78
72.8625,19.0305,8,3,2,2,0,4.72,3.49,10.91
72.7856,19.0373,33,3,1,1,0,7.24,5.79,2.53
72.8763,19.0112,1,2,1,1,1,0.96,0.78,10.52
72.8442,19.0633,34,3,2,3,0,1.66,1.78,9.5
72.7834,18.9594,0,3,1,1,0,2.42,2.33,6.31
72.8562,19.0102,12,2,1,1,2,1.78,1.86,9.22
72.8223,19.0066,13,4,2,2,1,1.12,0.91,17.84
72.8107,19.0049,11,3,2,2,0,1.07,1.01,7.37
72.8235,19.028,30,2,1,1,1,1.03,0.85,7.02
72.8035,18.9485,50,3,2,3,1,4.14,4.32,3.12
72.8296,19.017,25,4,2,2,0,3.49,3.24,11.21
72.8377,18.9183,23,4,3,3,1,1.89,1.57,9.14
72.8188,18.8979,14,2,1,1,0,0.15,0.17,4.82
72.8868,18.9479,4,4,3,3,0,0.53,0.46,12.19
72.8775,18.9426,19,3,2,2,0,0.46,0.35,7.6
72.819,19.0112,2,3,1,1,0,9.07,11.21,1.93
72.8007,19.0391,4,2,1,1,0,1.31,1.45,5.44
72.8684,18.893,3,2,1,1,2,7.13,8.39,3.15
72.8268,18.8771,7,4,3,3,0,1.73,1.49,10.88
72.8748,19.0309,2,3,2,2,2,3.36,2.27,16.45
72.8909,18.9695,19,3,2,3,0,6.24,5.2,8.97
72.7891,18.967,23,3,2,2,1,1.07,1.03,7.08
72.8279,18.9836,17,3,2,3,1,0.17,0.17,16.27
72.8215,19.0635,1,3,2,3,1,0.19,0.15,21.0
72.8966,19.0392,21,2,1,1,1,3.28,3.34,6.96
72.8676,19.0121,2,4,2,2,1,1.02,1.24,20.71
72.8737,18.9421,2,3,2,2,0,0.96,0.91,8.83
72.8079,19.0485,6,3,1,1,1,6.29,5.9,4.52
72.8375,18.9832,27,4,2,2,1,0.13,0.1,15.53
72.8992,18.9502,1,2,1,1,1,2.15,1.51,10.32
72.8983,18.8698,16,4,2,2,1,0.58,0.71,10.05
72.8213,18.9683,3,2,1,1,2,1.23,1.34,11.73
72.8653,19.0409,14,3,2,2,1,4.88,5.37,10.05
72.8923,18.9561,9,5,3,3,1,3.1,2.99,21.71
72.8997,18.9691,3,4,2,2,0,2.03,1.48,17.61
72.8877,19.0442,28,3,2,3,1,0.82,0.55,13.34
72.8264,18.9564,7,3,1,1,0,5.24,4.35,8.32
72.8765,18.8821,35,3,1,1,0,1.58,1.83,4.07
72.8395,18.9085,14,4,2,2,2,0.26,0.19,10.88
72.8311,19.0091,12,2,1,1,1,0.14,0.1,9.46
72.8945,19.0552,28,3,2,3,1,5.07,3.88,9.76
72.8452,19.0034,35,5,3,3,1,2.48,1.68,15.41
72.8826,19.018,4,3,2,2,1,2.36,2.41,15.07
72.8578,19.0457,19,4,3,3,0,0.49,0.51,18.47
72.7971,19.0075,18,2,1,1,2,2.35,2.04,4.27
72.8721,18.9086,5,4,3,3,2,4.57,4.51,10.81
72.856,18.9919,33,3,2,3,0,1.71,1.92,9.47
72.8017,18.9305,6,3,2,2,1,0.81,0.62,9.8
72.8073,18.9096,2,3,2,2,0,1.52,1.64,8.6
72.8759,19.0123,50,4,2,2,0,1.44,1.24,7.61
72.8308,19.0497,32,3,1,1,1,2.32,2.53,7.96
72.8527,18.8726,1,4,3,3,1,2.14,1.47,13.65
72.8529,18.9484,24,3,2,3,0,4.66,3.81,5.08
72.7928,18.9387,6,4,3,3,1,5.05,4.77,9.51
72.8101,19.0454,20,3,2,2,0,12.04,8.19,2.86
72.8961,18.9505,17,3,2,2,1,2.98,2.68,12.44
72.8123,19.0081,3,4,2,2,0,3.55,2.48,8.66
72.8928,18.9651,5,2,1,1,1,1.35,1.63,9.19
72.8878,18.9783,50,4,2,3,1,2.09,1.78,8.39
72.828,18.9683,22,3,2,2,0,4.36,4.27,8.88
72.8339,18.8712,33,4,3,3,1,1.33,1.48,8.19
72.843,18.9315,17,4,2,2,1,3.76,2.55,7.86
72.8708,19.0505,2,4,3,3,2,2.01,1.35,26.8
72.8399,18.9151,45,3,2,2,2,0.09,0.1,5.56
72.8374,19.0391,2,2,1,1,0,1.5,1.06,9.66
72.8098,18.871,0,3,2,3,0,10.02,9.14,3.99
72.8361,19.0277,18,2,1,1,1,2.18,2.51,7.61
72.8563,19.0251,50,2,1,1,2,2.03,1.55,4.7
72.888,18.8992,8,2,1,1,0,4.02,3.43,3.61
72.8116,18.8716,25,4,2,2,0,6.61,5.73,5.09
72.8894,18.9261,8,3,1,1,0,1.4,1.38,6.03
72.8273,18.9839,31,4,3,3,2,5.5,6.27,11.48
72.8873,18.9244,0,4,3,3,1,9.49,8.61,6.65
72.8369,18.9652,17,3,2,2,2,1.1,0.76,16.46
72.8803,18.9739,2,3,2,2,0,2.45,1.64,14.09
72.8375,18.9354,1,3,2,2,1,2.53,1.89,9.1
72.8342,19.0486,1,4,3,3,1,0.45,0.31,26.14
72.8617,19.0666,50,2,1,1,1,4.0,3.69,3.8
72.8554,18.934,13,4,3,4,1,5.64,4.69,8.52
72.8971,18.9218,0,4,3,3,1,0.2,0.23,14.63
72.8919,19.0152,8,4,3,3,2,8.5,5.78,14.51
72.8297,18.8696,35,4,3,3,2,4.17,3.65,6.95
72.8434,18.9586,1,3,1,1,0,1.05,0.92,12.25
72.8552,18.9293,14,3,2,3,0,2.83,2.83,7.0
72.7999,19.027,47,2,1,1,1,4.48,4.83,1.66
72.8684,19.0221,21,5,3,3,1,2.65,3.2,17.83
72.7989,19.0406,5,4,2,2,2,6.97,8.47,6.62
72.802,18.9523,1,4,2,3,2,0.31,0.29,14.43
72.8042,18.964,1,5,3,3,2,0.64,0.68,17.85
72.7989,18.9014,17,3,2,2,1,0.3,0.28,8.22
72.8784,19.0619,5,4,3,3,1,5.73,3.83,17.35
72.8896,18.8878,0,3,2,2,1,9.03,7.94,5.06
72.8236,18.8763,31,3,2,3,1,2.59,2.36,6.02
72.8675,18.9529,3,5,3,4,1,0.36,0.33,30.69
72.8226,18.9553,6,4,3,4,1,1.85,1.94,23.05
72.8723,19.0217,3,4,2,2,1,10.63,9.74,7.75
72.8909,18.9142,29,2,1,1,1,0.39,0.27,4.04
72.8706,19.0338,18,3,1,1,1,2.39,1.83,10.05
72.8455,19.0282,18,4,3,4,2,9.51,7.13,12.27
72.7966,19.0437,0,4,3,3,2,0.11,0.1,16.51
72.8423,18.9392,5,2,1,1,2,0.43,0.41,6.94
72.8735,18.9687,31,4,2,2,0,16.41,15.0,2.41
72.8311,18.8818,1,3,2,2,1,3.22,2.49,8.7
72.8701,18.9988,19,2,1,1,1,4.68,3.15,6.43
72.8339,18.8775,17,4,2,2,1,8.83,6.23,5.22
72.7963,18.8948,43,2,1,1,0,1.31,1.45,2.29
72.8003,18.9116,6,3,1,1,1,1.1,0.91,7.44
72.8416,18.9454,38,2,1,1,1,2.15,2.62,2.35
72.8447,18.9455,17,2,1,1,1,4.78,3.4,3.28
72.831,18.977,0,4,3,3,0,3.5,3.13,18.52
72.8977,18.9167,42,3,2,2,0,4.98,4.33,3.3
72.8824,18.8918,0,5,3,3,1,4.31,3.97,12.01
72.864,18.9378,5,2,1,1,2,1.94,1.31,6.28
72.8271,18.8911,23,4,3,3,1,0.33,0.26,11.05
72.8474,18.878,11,3,1,1,0,6.64,6.21,3.91
72.8333,18.9566,6,4,2,2,1,5.52,6.32,12.24
72.7943,19.0439,18,3,2,2,1,1.54,1.13,7.78
72.8384,18.8888,9,2,1,1,1,1.87,2.11,4.81
72.8615,18.9673,0,3,1,1,0,0.76,0.91,12.48
72.8891,18.9044,9,2,1,1,2,4.02,4.33,4.72
72.8607,18.9528,18,4,2,2,1,7.11,7.03,9.38
72.8504,19.0497,14,3,1,1,1,0.46,0.42,11.99
72.8182,18.9507,1,4,2,2,2,5.92,5.15,8.39
72.863,18.9653,29,2,1,1,2,2.75,1.9,7.12
72.8914,18.9327,50,2,1,1,1,5.41,3.87,1.56
72.849,19.0035,15,5,3,4,1,1.26,1.23,24.41
72.7994,18.9445,20,2,1,1,1,2.63,3.04,3.95
72.7983,18.9335,50,4,3,3,0,5.84,4.22,3.51
72.8484,18.9747,21,2,1,1,1,1.0,0.92,7.86
72.8385,18.9497,9,4,2,2,1,0.76,0.73,11.09
72.8202,18.875,0,5,3,3,1,2.74,2.94,14.03
72.8909,18.9122,3,3,2,2,1,3.24,2.35,8.34
72.8002,19.0423,28,3,2,2,1,4.46,3.82,4.78
72.8293,18.9768,19,4,2,3,2,0.54,0.39,20.26
72.8128,18.9437,6,2,1,1,0,0.12,0.14,5.25
72.8712,18.8908,0,3,2,2,0,0.17,0.16,9.7
72.8266,19.0036,6,3,1,1,2,2.54,1.86,13.15
72.8537,18.9521,50,2,1,1,2,4.37,3.08,3.25
72.8516,18.9232,3,4,3,4,2,0.68,0.57,16.26
72.889,19.0279,10,3,2,2,0,0.71,0.52,14.81
72.8376,18.9762,11,4,3,3,0,0.81,0.56,20.05
72.8126,18.9862,3,4,3,3,1,2.22,1.74,12.42
72.7916,18.9572,6,4,2,3,1,0.52,0.52,12.53
72.8565,18.9171,13,3,2,3,0,2.31,1.86,7.45
72.7932,19.0532,3,4,2,2,1,1.26,0.87,11.52
72.8643,18.8899,5,2,1,1,0,0.79,0.96,4.84
72.8526,18.8888,26,2,1,1,1,1.05,1.25,3.63
72.7908,18.9854,2,2,1,1,1,2.07,1.49,5.33
72.8586,19.0086,36,5,3,4,1,1.74,1.28,16.81
72.8685,19.066,3,3,2,2,1,7.18,4.95,11.5
72.8633,19.0449,2,3,2,2,0,2.27,1.54,14.39
72.8696,19.0574,12,3,1,1,1,4.8,3.92,9.49
72.8831,19.0112,3,4,3,3,1,4.23,3.64,19.34
72.862,18.901,19,4,3,3,1,0.13,0.1,11.42
72.7912,19.0297,17,4,3,3,0,5.24,3.76,7.81
72.8868,18.9507,24,3,2,2,1,0.12,0.1,13.68
72.8887,19.0427,18,4,2,3,1,0.1,0.1,19.22
72.8326,18.8809,11,3,2,3,1,1.41,1.36,9.29
72.8867,18.9926,1,4,2,3,0,1.74,1.94,18.84
72.8554,18.9983,37,3,1,1,2,2.01,1.39,8.28
72.8846,18.9758,19,4,3,3,0,8.46,7.02,9.29
72.8228,18.9798,2,4,2,3,1,5.89,4.05,15.97
72.8195,18.9386,28,4,2,2,0,2.32,2.47,5.97
72.8083,19.0575,25,3,2,3,0,0.24,0.28,7.41
72.7934,19.0219,4,2,1,1,1,0.26,0.27,6.11
72.8022,19.0521,50,3,2,2,0,0.31,0.26,3.49
72.822,19.0464,2,4,2,2,1,1.99,2.3,18.96
72.839,19.0511,10,5,3,3,0,4.43,4.27,16.88
72.8943,19.0564,3,3,1,1,1,3.73,3.17,11.2
72.8809,19.0467,15,3,2,2,1,1.47,1.41,14.32
72.8056,19.023,9,3,1,1,0,5.39,3.75,4.87
72.8861,19.039,15,3,2,2,0,8.21,6.4,7.62
72.8012,18.9633,6,2,1,1,0,15.75,13.96,0.93
72.8008,18.8946,11,2,1,1,1,2.0,1.49,4.97
72.8388,18.9434,11,4,2,2,1,1.2,1.22,10.33
72.8028,18.9627,0,4,3,4,0,1.18,1.0,13.39
72.8652,18.9142,34,3,1,1,1,0.23,0.18,4.99
72.8985,19.0286,2,4,2,2,0,0.24,0.24,19.87
72.8947,18.9756,0,4,2,3,1,0.96,0.86,23.33
72.8096,19.0148,10,2,1,1,1,0.67,0.49,5.27
72.856,18.9482,17,3,2,2,2,3.57,2.62,7.63
72.8422,18.9579,8,2,1,1,0,8.24,5.6,4.83
72.794,18.9879,28,3,2,2,0,1.77,1.83,5.48
72.8559,18.9213,14,3,1,1,0,1.6,1.15,5.51
72.8982,19.0108,28,2,1,1,0,4.54,3.81,5.0
72.8491,18.9559,10,3,2,2,1,1.27,0.86,15.72
72.8303,18.9517,15,3,1,1,1,0.7,0.81,11.29
72.7893,18.9595,7,3,2,2,2,1.47,1.52,9.39
72.8177,18.9245,6,3,1,1,0,0.99,0.98,6.62
72.8433,18.8935,29,2,1,1,2,8.11,8.58,2.0
72.8295,18.8802,3,2,1,1,1,2.23,1.56,5.11
72.882,18.9656,6,5,3,3,2,4.95,4.47,21.91
72.8968,18.9918,26,2,1,1,1,7.57,5.12,5.06
72.8727,18.9894,12,4,2,2,1,0.32,0.31,19.16
72.8913,18.8746,1,2,1,1,2,0.79,0.55,6.33
72.8156,18.9139,3,4,3,4,0,2.44,2.01,11.83
72.8006,18.9648,13,2,1,1,1,0.48,0.5,4.93
72.8176,18.9414,13,4,2,2,0,1.37,1.23,8.87
72.8678,19.0082,18,4,2,2,2,5.28,5.93,12.04
72.871,18.9227,18,3,1,1,1,3.6,2.68,5.5
72.8676,18.986,2,3,2,2,2,0.7,0.51,20.16
72.8728,19.001,4,2,1,1,1,1.71,1.42,9.75
72.8466,19.0181,19,2,1,1,1,1.17,1.41,7.87
72.8927,18.9745,11,4,3,3,0,0.5,0.41,20.71
72.8084,18.9959,15,3,2,3,1,2.22,1.95,8.37
72.8951,18.9093,3,2,1,1,0,13.51,11.06,1.19
72.8879,19.041,24,2,1,1,1,2.49,2.7,6.78
72.8631,19.0653,20,5,3,3,0,3.82,3.39,15.75
72.8255,18.8715,13,4,3,3,1,1.47,1.36,11.55
72.8952,19.0078,12,4,3,3,1,0.08,0.1,23.46
72.8257,19.0152,2,2,1,1,0,9.74,6.81,4.71
72.8978,18.9462,9,3,2,2,0,3.66,2.54,6.73
72.8059,18.9197,31,2,1,1,1,0.59,0.46,3.79
72.8943,18.9049,26,3,1,1,1,1.6,1.09,5.15
72.8777,18.891,0,4,2,2,1,1.74,1.85,11.19
72.838,18.9109,8,4,3,3,1,0.62,0.73,12.81
72.8251,18.9788,6,3,1,1,0,4.55,4.61,8.18
72.8903,18.9171,1,2,1,1,1,2.64,2.2,5.31
72.8521,19.0647,2,4,3,4,1,4.35,4.66,18.94
72.8802,18.9219,5,4,2,2,2,7.25,5.91,7.72
72.811,18.9975,14,5,3,3,0,2.6,2.68,10.28
72.885,18.8952,3,2,1,1,0,3.11,2.36,4.21
72.8538,18.9441,38,2,1,1,0,0.89,0.69,2.77
72.8313,19.0581,10,2,1,1,0,0.71,0.57,8.43
72.8274,18.9709,3,5,3,3,0,0.38,0.4,25.99
72.8962,18.966,7,3,2,2,1,4.98,4.87,11.65
72.7892,18.9639,3,3,2,2,1,1.35,0.97,9.65
72.8058,19.0383,27,4,3,4,1,0.62,0.55,10.56
72.8612,18.8803,0,2,1,1,1,2.56,2.14,5.68
72.8823,19.0467,2,2,1,1,0,0.14,0.12,9.67
72.8268,18.9257,4,4,3,3,1,1.88,2.05,12.1
72.8489,18.961,3,3,1,1,2,0.73,0.66,15.6
72.7923,18.9992,12,3,2,2,1,4.7,3.74,6.24
72.7866,18.9586,8,3,1,1,1,0.56,0.37,7.79
72.8103,19.0443,24,3,2,3,0,3.11,2.1,6.26
72.8826,18.8955,2,4,2,2,0,8.91,6.12,6.11
72.8904,19.0329,14,4,2,3,0,0.36,0.38,17.83
72.8286,18.9412,22,3,2,2,1,4.64,3.13,5.82
72.8457,19.0372,6,5,3,3,1,0.13,0.12,28.79
72.8463,19.0127,29,2,1,1,1,3.28,2.47,5.8
72.8427,19.0277,2,2,1,1,0,3.02,2.36,7.89
72.8438,19.0287,29,4,3,3,1,5.06,4.78,12.01
72.8412,18.9251,0,3,2,2,2,0.96,0.7,11.01
72.8817,18.9716,10,2,1,1,1,0.16,0.15,10.41
72.8509,18.9895,29,3,2,3,2,2.92,2.36,12.5
72.787,18.8763,2,5,3,3,0,1.61,1.73,12.69
72.8157,18.983,50,3,2,2,0,10.02,7.82,1.75
72.8853,19.0207,1,3,2,2,2,1.14,1.15,19.73
72.804,19.058,8,3,2,3,2,0.19,0.22,11.58
72.8856,18.8732,21,2,1,1,0,16.96,15.0,0.94
72.8493,18.9968,17,4,2,2,1,8.17,5.67,10.14
72.8303,19.0319,2,2,1,1,0,0.12,0.1,9.35
72.8435,19.0032,5,2,1,1,1,16.64,15.0,2.49
72.8039,18.8685,8,3,2,2,1,1.47,1.07,8.93
72.849,18.8694,5,3,2,2,1,1.88,1.34,9.02
72.8443,18.9332,1,2,1,1,0,0.28,0.25,5.77
72.8933,18.8747,4,3,1,1,0,2.94,2.06,6.26
72.8151,18.8783,0,4,2,2,0,0.97,0.99,10.59
72.8706,18.9674,0,5,3,3,0,3.71,3.63,20.09
72.8119,19.0072,49,4,2,2,1,5.65,4.44,3.55
72.8523,18.9353,50,3,1,1,1,0.97,0.66,3.04
72.8452,18.9277,19,4,2,3,1,5.03,4.8,6.15
72.8026,18.976,1,3,2,2,2,11.93,11.42,3.24
72.8302,18.9008,18,4,3,3,0,1.18,1.12,9.83
72.7934,18.9798,21,2,1,1,0,3.86,4.02,3.39
72.8026,19.0581,13,4,3,3,0,2.76,2.83,9.26
72.8625,18.9596,28,2,1,1,0,0.46,0.46,6.17
72.8035,19.0042,2,2,1,1,1,2.35,1.64,5.43
72.8524,19.0209,5,4,3,4,1,1.26,1.27,24.94
72.8727,18.9643,28,2,1,1,2,0.41,0.43,8.32
72.8588,18.8705,15,3,2,3,2,0.36,0.27,10.42
72.8649,18.9273,10,4,3,3,0,0.33,0.27,12.21
72.8774,18.9431,5,4,2,3,2,6.01,5.23,8.95
72.8281,19.0228,18,3,1,1,0,3.67,3.71,7.63
72.8923,18.9016,4,3,1,1,1,1.33,0.89,7.36
72.7923,19.0489,1,3,2,2,1,1.92,1.4,9.3
72.8639,19.0107,6,3,1,1,0,4.12,3.26,9.44
72.8852,18.9134,8,2,1,1,2,1.19,1.19,6.15
72.8543,18.8925,21,4,2,2,1,0.15,0.1,9.53
72.8254,19.0071,7,4,3,3,1,4.27,2.92,19.31
72.8256,18.8714,2,2,1,1,1,3.73,3.3,5.08
72.8629,19.056,46,2,1,1,0,0.63,0.76,4.66
72.8242,19.0497,5,2,1,1,0,6.93,6.76,4.81
