Longitude,Latitude,House_Age,Total_Rooms,Total_Bedrooms,Bathrooms,Parking,Dist_Mall_KM,Dist_Metro_KM,prediction
72.8917,18.9365,3,4,3,3,0,0.83,0.55,12.51540000000001
72.8815,18.915,3,3,1,1,2,2.54,1.7,7.268599999999993
72.8999,19.0427,14,2,1,1,0,0.9,0.74,8.200399999999997
72.8804,18.9021,33,2,1,1,2,1.79,1.5,3.635300000000001
72.8762,19.0432,25,4,2,3,1,3.74,4.14,11.885000000000002
72.8887,18.948,5,2,1,1,2,6.25,5.52,3.8410999999999995
72.8649,19.001,27,3,2,3,2,0.54,0.51,13.462400000000004
72.8821,18.979,8,3,2,2,1,0.67,0.69,16.758099999999992
72.8982,18.9696,31,5,3,3,2,2.63,1.97,16.887400000000003
72.8562,18.9361,16,3,2,2,2,3.3,2.6,7.6804
72.8606,18.9287,10,4,2,2,0,9.67,7.25,5.282400000000001
72.8172,18.9333,5,5,3,4,0,0.5,0.35,14.750199999999996
72.7958,18.9633,4,3,2,2,1,2.43,1.67,8.888800000000002
72.8904,18.9951,2,3,2,2,0,1.15,1.29,15.58369999999999
72.8996,18.9765,1,4,2,2,1,0.37,0.28,22.433000000000003
72.7904,18.879,23,4,2,2,1,2.58,2.98,7.292300000000001
72.8062,18.9435,18,3,2,2,0,6.85,5.1,5.355699999999998
72.841,18.984,22,5,3,3,1,2.95,2.86,17.40329999999999
72.8421,18.8959,24,4,3,3,1,6.14,6.84,6.331299999999998
72.894,18.9476,0,2,1,1,1,6.53,6.54,3.339799999999999
72.8987,18.8843,50,3,2,3,1,2.51,1.76,4.351400000000002
72.8487,18.9332,1,2,1,1,0,3.35,2.31,4.676899999999996
72.8377,19.013,15,3,2,2,1,5.62,6.37,9.933100000000008
72.7995,18.9628,3,4,2,2,0,2.55,2.56,9.251600000000009
72.8699,18.9302,1,4,3,3,1,0.93,0.67,14.225299999999987
72.8737,18.8934,38,3,2,2,1,1.44,1.39,5.387699999999998
72.8696,18.9586,6,2,1,1,1,4.4,3.61,7.740299999999999
72.8058,18.921,16,2,1,1,2,0.59,0.49,5.501
72.7864,19.0445,28,3,1,1,2,1.53,1.27,4.773399999999998
72.8763,18.9906,5,5,3,3,1,4.09,3.24,20.4476
72.8413,18.9606,29,2,1,1,2,1.32,1.32,7.499400000000003
72.83,19.0594,2,4,2,2,1,2.15,2.61,19.087900000000005
72.8234,18.9393,2,3,1,1,1,0.91,0.65,7.881800000000006
72.8308,18.9239,5,4,2,2,0,0.09,0.1,10.7937
72.8034,18.8845,30,4,3,4,0,0.93,1.03,8.737799999999996
72.8389,18.8979,17,4,2,2,1,2.45,1.98,8.721100000000002
72.8677,18.9334,7,3,1,1,0,22.0,15.0,1.6866999999999992
72.84,18.9739,1,4,3,3,1,0.82,0.73,25.596299999999996
72.8619,19.0063,5,5,3,3,0,3.24,3.47,19.305800000000005
72.8352,18.9502,3,2,1,1,1,3.1,2.52,8.4374
72.7845,18.8758,19,2,1,1,1,0.59,0.52,4.926299999999998
72.8108,18.9381,18,4,3,4,0,2.38,1.95,9.347000000000003
72.8856,18.9352,15,3,2,3,1,0.26,0.17,9.488099999999994
72.851,19.0183,11,3,2,2,0,3.83,2.8,11.751499999999997
72.827,19.0248,5,4,2,2,0,3.36,2.44,15.672400000000005
72.8123,19.023,14,4,2,2,1,0.21,0.23,10.661399999999999
72.7876,18.9533,3,4,3,4,0,0.67,0.73,13.336799999999998
72.8988,18.9391,5,3,2,2,2,3.21,2.39,8.718399999999995
72.8263,18.8751,7,2,1,1,1,0.13,0.1,5.776800000000001
72.8752,18.8695,23,2,1,1,0,5.12,3.96,3.2006
72.789,18.9122,6,4,2,2,1,0.48,0.48,11.617399999999996
72.8775,18.9581,35,4,2,2,0,4.33,4.41,8.5886
72.8878,19.0086,30,4,2,2,0,8.05,6.37,7.3621000000000025
72.8983,18.9703,7,2,1,1,1,2.56,1.86,8.955099999999998
72.8748,18.9193,0,3,1,1,1,0.14,0.12,8.201699999999999
72.8313,18.9126,22,3,2,2,0,1.65,1.11,6.607599999999995
72.8512,18.9066,2,4,3,3,1,0.15,0.1,14.770799999999992
72.7877,18.9226,16,2,1,1,0,0.33,0.26,4.4285
72.8016,18.9663,18,3,1,1,1,1.41,1.69,5.782599999999999
72.8433,19.0538,8,3,2,3,1,0.84,0.88,17.433400000000017
72.7901,18.9748,3,3,1,1,2,2.49,1.71,7.4020999999999955
72.7931,19.0396,20,2,1,1,1,3.44,2.31,3.775299999999999
72.8457,19.0326,3,3,2,2,1,0.12,0.1,18.49879999999999
72.8298,18.9727,7,2,1,1,0,4.15,4.34,6.5414999999999965
72.894,18.9963,19,4,3,3,0,2.65,2.8,16.060999999999993
72.811,18.906,5,3,1,1,2,2.13,2.51,6.943799999999997
72.8101,19.0317,11,3,2,2,1,0.23,0.23,9.183799999999993
72.7854,18.8693,6,4,3,4,1,6.6,4.56,9.853299999999996
72.8377,18.9838,4,2,1,1,0,0.48,0.33,9.650399999999996
72.833,19.0199,26,3,1,1,0,0.28,0.33,8.8493
72.8263,19.041,27,3,2,3,0,10.14,6.85,7.413200000000006
72.8901,18.9224,5,2,1,1,2,1.41,1.09,6.021699999999998
72.8904,18.87,12,3,2,2,0,2.39,1.71,7.269799999999998
72.8354,18.9959,42,2,1,1,2,4.5,3.53,4.7437999999999985
72.8652,19.0134,14,4,2,2,1,2.67,1.85,16.236900000000002
72.8028,19.0209,3,3,2,2,1,3.03,3.6,7.794200000000001
72.808,18.8908,7,2,1,1,1,2.07,1.68,5.005100000000001
72.8862,19.056,6,3,2,2,1,1.13,0.83,16.5582
72.8482,18.9503,11,4,2,2,1,4.01,4.21,13.030399999999997
72.8913,19.0645,1,5,3,3,1,0.09,0.1,29.640399999999996
72.7909,19.0525,19,4,2,2,1,0.99,0.83,9.22209999999999
72.7885,18.9373,21,4,2,2,2,1.56,1.87,9.255300000000007
72.8521,18.9744,2,2,1,1,1,0.63,0.73,10.804200000000005
72.7856,18.9044,15,2,1,1,2,0.27,0.28,5.5498
72.8028,18.9962,41,2,1,1,1,2.99,2.61,2.8033000000000006
72.7876,19.0063,4,4,2,2,1,8.85,9.29,5.078000000000002
72.8549,19.0532,9,3,1,1,1,1.4,1.59,12.675600000000005
72.8402,18.9059,4,4,2,2,0,4.77,5.27,7.1268
72.8214,18.8687,1,3,1,1,1,2.26,2.21,6.851099999999995
72.8659,19.0647,6,3,2,2,2,3.06,3.31,15.790499999999994
72.7936,19.0058,0,3,2,2,1,15.42,13.33,3.054
72.8528,19.0225,2,4,2,2,2,2.72,2.6,19.095
72.8144,18.8698,2,4,2,2,0,6.76,7.0,6.407100000000001
72.8765,19.0206,3,4,3,4,0,1.28,1.02,22.348899999999993
72.7954,18.9897,26,3,1,1,2,6.86,7.08,2.8383999999999996
72.8776,19.0263,0,3,1,1,2,3.87,3.09,11.817400000000003
72.7844,19.0006,9,3,1,1,1,1.84,1.54,6.6263999999999985
72.8787,18.915,50,3,1,1,1,10.81,7.47,1.6542999999999999
72.8398,18.9589,10,3,2,2,1,0.48,0.49,16.543999999999993
72.824,19.0436,12,3,2,3,1,1.56,1.22,15.949499999999993
72.85,18.9457,31,3,1,1,1,1.41,1.16,4.7867000000000015
72.8995,18.9466,23,4,2,2,0,2.47,2.38,7.2795000000000005
72.8021,18.8685,15,3,2,2,1,2.63,1.84,7.748900000000001
72.8269,18.9942,8,2,1,1,2,3.02,2.41,9.241699999999994
72.8263,18.9417,10,2,1,1,0,3.8,2.89,4.0764
72.8446,19.0391,1,4,3,4,1,0.17,0.16,27.37860000000001
72.8085,19.0617,2,5,3,3,1,0.81,0.72,15.661799999999996
72.8187,19.056,20,2,1,1,1,0.79,0.57,4.803399999999999
72.8502,18.969,12,2,1,1,1,1.74,1.17,9.030000000000008
72.8684,18.9202,7,4,3,3,1,4.76,5.61,9.313300000000003
72.8846,19.0483,7,3,2,2,1,10.83,9.75,6.363100000000002
72.888,19.0354,50,3,1,1,1,1.16,0.91,5.597299999999993
72.8266,18.9553,0,4,3,4,2,0.43,0.41,28.777700000000003
72.8541,18.9695,3,4,3,3,1,4.26,3.18,19.9675
72.8217,19.0554,12,3,2,2,2,4.35,4.72,12.281899999999998
72.8742,18.9291,6,4,3,3,1,9.89,7.09,6.844299999999996
72.8935,18.9575,5,3,2,2,0,8.71,6.38,8.773500000000002
72.8144,18.8919,16,3,2,2,0,1.18,1.25,7.2144999999999975
72.8722,19.0145,7,3,2,2,1,3.52,2.86,14.0031
72.8554,19.047,12,3,2,3,1,0.54,0.47,16.84970000000001
72.8596,19.0536,6,3,1,1,2,0.3,0.26,14.865399999999992
72.8837,19.0264,13,4,2,2,0,20.54,15.0,5.009199999999997
72.8113,18.9146,6,3,1,1,1,7.45,6.81,3.4770999999999996
72.8481,19.0273,15,2,1,1,1,2.66,2.09,7.7783999999999915
72.8477,19.0362,33,4,3,3,1,3.66,3.51,12.720499999999998
72.837,19.0556,10,4,3,3,1,0.82,0.78,22.894600000000004
72.8621,18.9449,36,4,3,3,1,2.86,2.25,7.1438999999999995
72.8893,18.8835,23,4,2,2,0,3.32,3.61,6.962800000000002
72.8346,18.8908,12,3,2,2,1,1.35,0.97,8.619299999999994
72.8151,19.014,1,3,2,2,2,1.57,1.1,10.190499999999997
72.8901,18.9106,42,5,3,3,0,7.4,6.63,3.178300000000001
72.8378,18.9106,1,5,3,3,1,3.75,3.7,12.427099999999998
72.8036,19.0629,7,4,2,2,1,4.72,3.47,8.496899999999997
72.8695,19.0098,3,3,1,1,2,3.28,2.66,12.4255
72.8339,18.8925,8,2,1,1,2,8.01,5.98,3.3980000000000015
72.8872,18.8767,1,3,2,2,1,2.49,2.37,8.942700000000004
72.7982,18.9334,50,3,2,2,1,2.83,2.0,4.057800000000001
72.8777,18.9803,49,3,2,2,0,0.33,0.23,8.113300000000004
72.8922,19.0196,10,3,2,2,1,3.24,2.72,13.427199999999996
72.8377,18.9584,13,2,1,1,0,2.38,2.6,7.1590000000000025
72.8715,18.9409,31,3,2,2,0,2.53,2.26,5.833499999999998
72.804,18.8995,38,4,3,3,0,0.09,0.1,9.093300000000008
72.7965,18.9341,11,3,2,2,1,1.87,2.23,7.864800000000002
72.8212,19.0456,22,2,1,1,0,0.19,0.18,7.2263000000000055
72.8884,19.0548,2,4,2,3,1,9.93,7.6,9.460299999999995
72.8878,18.9312,0,3,2,2,1,2.48,2.86,9.041599999999995
72.8942,18.9862,3,3,2,3,1,11.77,8.08,7.921099999999995
72.8413,18.8668,19,3,2,2,0,2.2,1.59,6.895599999999999
72.8581,19.0138,7,2,1,1,0,7.67,6.26,5.296200000000003
72.8338,18.873,0,4,2,3,0,1.65,1.58,9.9913
72.8834,18.9147,13,4,2,3,0,0.6,0.51,9.516499999999997
72.8226,18.9428,5,4,2,3,1,1.69,1.39,11.149
72.8698,19.0154,0,3,1,1,1,5.21,5.04,9.339600000000004
72.8713,18.9746,6,2,1,1,0,0.39,0.29,9.542999999999996
72.7897,19.0052,2,3,2,2,0,5.05,4.29,6.804599999999996
72.8698,18.8864,12,3,2,3,0,0.55,0.62,8.047399999999993
72.8686,19.0301,3,2,1,1,0,2.2,1.78,8.264300000000002
72.7975,18.9622,37,5,3,3,0,2.56,2.34,7.559299999999999
72.7977,18.9249,32,3,1,1,1,2.06,1.42,4.474699999999997
72.8797,18.9811,4,2,1,1,1,2.64,1.78,9.349899999999991
72.7962,18.9018,0,3,1,1,0,8.98,7.58,2.9029
72.8767,18.9378,4,5,3,3,1,7.09,6.31,8.499599999999997
72.8053,18.9456,21,3,2,3,2,2.46,1.99,7.321900000000002
72.8286,19.0568,28,2,1,1,0,1.64,1.88,6.4902999999999995
72.8084,19.0479,0,2,1,1,1,7.43,5.59,3.5967999999999978
72.8932,18.9814,0,2,1,1,1,6.7,5.27,7.008200000000004
72.8786,18.9673,2,4,3,3,1,2.77,2.11,21.852099999999993
72.8725,19.0539,15,3,2,2,1,9.05,11.0,7.020000000000002
72.847,19.0548,4,2,1,1,0,10.72,7.21,5.100000000000004
72.8502,18.8745,42,4,2,3,0,0.98,0.88,5.500400000000003
72.8003,18.9491,0,3,1,1,0,12.93,11.16,2.0172
72.876,18.9975,4,4,2,2,0,10.62,7.83,8.0732
72.8424,19.0029,50,2,1,1,0,9.65,7.33,2.5852999999999975
72.8744,18.941,27,4,3,3,2,0.77,0.83,10.236200000000004
72.8007,19.0105,9,3,2,3,0,4.37,5.11,6.5590999999999955
72.8045,18.8771,47,4,3,3,1,10.08,7.15,2.9865
72.8509,19.0204,6,3,2,2,1,1.29,0.96,16.41580000000002
72.8513,18.9497,27,5,3,3,0,2.98,2.03,8.830300000000001
72.8213,19.0204,48,4,2,2,1,12.32,10.1,3.8863000000000003
72.8907,19.0047,31,4,2,2,1,2.24,1.65,12.653499999999998
72.7966,19.0559,2,3,1,1,1,0.74,0.5,7.8189999999999955
72.8596,19.0197,6,2,1,1,1,0.31,0.24,10.55480000000001
72.8414,18.9456,14,2,1,1,1,3.97,3.52,3.8742
72.8356,18.9192,2,2,1,1,1,1.15,1.12,5.589200000000002
72.8986,19.064,21,3,1,1,1,0.9,0.95,10.777700000000008
72.8181,18.9815,0,4,2,2,2,3.53,2.83,9.617699999999996
72.8582,18.8815,10,4,3,3,0,6.02,5.8,8.097099999999996
72.8979,18.8919,18,4,2,2,2,1.31,1.0,10.244900000000008
72.8782,18.9119,16,4,3,3,1,6.13,4.7,8.259699999999997
72.8881,19.0294,8,3,1,1,2,2.46,2.13,12.743199999999996
72.8793,18.9567,4,3,2,2,0,0.14,0.12,16.590900000000005
72.8911,19.0517,23,3,1,1,1,0.3,0.31,10.921299999999999
72.8625,18.9952,4,4,3,3,1,1.64,1.43,23.455499999999994
72.8563,19.0358,14,2,1,1,1,1.49,1.44,8.608100000000006
72.8397,19.0304,12,3,2,3,1,3.14,2.25,14.05309999999999
72.8988,19.0234,13,3,2,2,0,5.7,3.88,10.423
72.847,18.9083,2,3,2,3,0,0.92,0.75,9.437900000000003
72.8466,18.8921,50,3,2,2,1,1.69,1.82,4.310200000000002
72.8159,18.9329,29,2,1,1,0,0.66,0.5,3.6314999999999973
72.8897,18.963,4,2,1,1,2,1.2,1.44,10.984600000000007
72.789,18.9145,6,4,2,2,1,2.35,2.64,9.5217
72.8358,18.9772,32,3,2,2,0,1.64,1.34,10.657600000000002
72.8404,19.0608,16,2,1,1,0,0.13,0.1,8.6161
72.8473,18.9147,17,4,3,3,1,1.04,1.15,11.430500000000004
72.8293,18.8906,18,4,2,2,1,1.81,1.36,8.948000000000002
72.8456,18.9014,1,4,2,2,0,3.6,3.85,8.235200000000003
72.8201,18.8854,2,2,1,1,1,4.81,4.04,4.2383000000000015
72.8767,18.9134,14,2,1,1,1,1.45,1.59,4.657599999999998
72.8436,18.9534,11,2,1,1,1,0.29,0.24,9.946500000000006
72.834,18.9953,40,4,2,2,1,0.64,0.57,11.015099999999997
72.8308,18.894,4,4,2,2,0,4.51,3.63,7.871399999999998
72.8924,18.9556,33,4,3,4,2,2.6,1.95,15.607200000000008
72.8881,18.9765,4,3,2,3,1,6.72,6.57,10.698599999999999
72.8156,18.9595,3,2,1,1,1,0.86,0.58,5.794900000000004
72.8039,18.8992,3,3,1,1,1,0.1,0.11,7.900199999999993
72.8505,19.0284,2,4,2,2,1,1.04,1.17,21.21160000000002
72.8801,18.8748,35,4,3,4,1,0.62,0.57,8.330700000000002
72.8266,18.9718,1,4,2,2,1,2.21,2.0,19.3346
72.8758,19.0084,17,3,2,2,1,0.37,0.27,14.834099999999994
72.8494,18.9981,3,5,3,3,2,0.24,0.28,30.60029999999999
72.8451,19.0014,30,3,1,1,2,0.69,0.55,9.393
72.807,18.9958,2,2,1,1,1,1.99,2.16,5.2374000000000045
72.8821,19.0533,13,2,1,1,2,11.25,12.64,3.056300000000002
72.821,18.9701,11,2,1,1,1,2.6,1.82,8.550400000000002
72.851,19.0497,41,3,2,2,2,1.43,1.28,9.381899999999996
72.8673,19.0588,12,2,1,1,1,0.12,0.1,9.527600000000001
72.8976,18.8723,8,4,3,3,1,7.72,5.24,8.725999999999994
72.8814,19.0125,2,4,2,2,1,3.49,4.31,16.9511
72.7868,18.9115,7,3,2,2,0,0.93,0.93,8.273599999999993
72.8046,19.0002,3,4,2,2,1,5.22,4.53,8.4668
72.8266,19.0619,12,4,3,3,1,1.17,1.02,22.327600000000004
72.7994,19.0245,19,4,3,3,0,2.58,2.62,9.229400000000002
72.8101,19.0293,31,3,2,2,2,6.77,6.13,5.2909999999999995
72.8871,18.8842,22,4,2,2,2,3.97,2.77,7.644499999999998
72.8536,18.972,50,2,1,1,2,2.85,2.51,4.045499999999997
72.888,19.0315,14,4,2,3,1,0.13,0.1,19.081
72.8663,18.983,15,3,2,2,2,3.35,2.58,13.605100000000009
72.8952,18.9901,10,2,1,1,1,1.54,1.04,9.246399999999996
72.809,18.9427,11,3,2,2,1,2.26,1.54,8.002099999999999
72.8119,18.9057,32,3,2,3,1,0.37,0.34,6.943
72.8778,18.8823,7,4,3,4,1,1.5,1.47,12.521900000000002
72.8998,18.9007,50,3,1,1,1,0.88,0.83,3.202
72.8477,18.9597,50,2,1,1,1,0.66,0.6,4.5614000000000035
72.8517,18.8841,6,2,1,1,0,0.74,0.7,5.058899999999999
72.8636,18.89,3,3,1,1,2,1.72,2.12,7.335099999999995
72.8148,18.9089,14,4,3,3,0,6.74,4.82,8.041799999999991
72.8658,18.944,25,3,1,1,1,2.84,1.95,4.925299999999998
72.8281,18.893,28,2,1,1,1,0.18,0.21,3.8891000000000013
72.8601,18.9026,3,2,1,1,1,2.82,2.28,5.0798999999999985
72.822,18.8695,42,3,2,2,0,5.98,4.89,3.7155000000000005
72.8784,19.0084,3,4,2,2,0,1.77,1.96,17.180100000000014
72.81,19.0011,3,4,2,2,0,6.26,4.48,8.021199999999999
72.8561,18.9757,0,2,1,1,1,1.24,1.43,10.0974
72.8403,18.9013,13,4,2,2,2,3.82,2.56,9.038899999999998
72.8484,18.8935,25,4,2,3,1,2.29,2.73,7.014099999999996
72.8327,18.9308,50,2,1,1,1,3.71,2.55,2.0889
72.8841,18.8946,18,3,2,3,1,6.21,6.67,5.066800000000001
72.8896,18.877,46,4,3,3,1,4.25,3.1,5.499799999999999
72.8422,18.8902,26,3,2,2,0,5.19,3.97,5.172499999999996
72.8006,19.0305,2,2,1,1,1,1.73,1.3,5.479499999999999
72.8952,19.0246,9,4,2,3,0,3.33,2.62,14.947999999999997
72.8299,19.0619,11,3,1,1,2,2.46,1.73,11.846899999999989
72.886,18.8772,6,3,1,1,0,1.3,1.6,6.1646
72.8568,18.9288,7,5,3,3,2,2.59,1.87,14.6181
72.8412,18.9691,19,4,2,3,0,2.42,2.55,14.57140000000001
72.8128,18.8939,2,5,3,3,1,2.99,2.47,13.36239999999999
72.8758,19.0055,13,4,2,2,0,11.87,8.69,6.8882
72.879,19.0455,0,5,3,3,1,1.44,1.73,27.400100000000005
72.831,18.8838,15,3,1,1,1,0.08,0.1,6.940700000000005
72.8038,19.0273,9,2,1,1,0,6.62,5.08,3.4266999999999985
72.852,18.9779,1,3,1,1,1,10.56,9.16,5.353299999999999
72.8612,18.8855,0,5,3,3,1,4.98,4.72,10.186700000000004
72.8469,18.9367,4,4,2,3,1,4.34,3.03,9.2449
72.8304,19.0449,7,3,1,1,1,5.5,5.97,8.323100000000002
72.8087,19.0162,12,3,2,2,1,2.02,1.72,8.275700000000002
72.7913,18.9124,12,3,1,1,2,1.11,0.89,7.142000000000003
72.8676,18.9071,5,4,3,4,0,10.37,8.14,5.223800000000003
72.8673,18.9775,0,4,3,3,1,0.2,0.22,27.0991
72.8637,18.9426,1,2,1,1,2,1.21,0.85,6.432800000000001
72.8962,19.0266,46,5,3,3,0,0.61,0.57,10.730400000000001
72.802,19.0131,8,4,2,3,0,0.11,0.12,10.774099999999986
72.8976,18.8844,1,2,1,1,0,0.84,0.92,5.273699999999998
72.817,18.9814,34,3,2,3,1,0.11,0.1,7.143799999999998
72.7861,19.041,7,4,3,4,1,0.65,0.5,13.832199999999993
72.8895,18.8718,16,2,1,1,2,0.75,0.57,5.4728999999999965
72.8411,19.0224,22,2,1,1,0,1.28,0.88,7.084300000000001
72.7876,19.0247,2,2,1,1,1,0.1,0.1,6.2898000000000005
72.8873,18.8682,14,2,1,1,0,7.63,5.74,2.755300000000001
72.8843,19.0177,8,4,2,2,1,1.21,1.14,19.450000000000017
72.8779,18.976,13,2,1,1,0,0.44,0.31,8.314600000000004
72.8418,18.915,0,4,2,2,1,4.18,2.99,9.530999999999993
72.8804,18.9904,2,2,1,1,1,1.07,1.14,10.19959999999999
72.8946,18.9509,0,4,2,2,1,7.44,7.16,10.607700000000001
72.867,19.0579,1,2,1,1,1,0.61,0.62,10.886499999999998
72.8438,19.0657,1,3,2,2,1,4.63,3.91,13.340899999999992
72.7943,18.9934,11,3,2,2,2,7.7,5.92,5.764500000000001
72.8345,18.8744,3,2,1,1,1,9.15,6.59,3.1789999999999994
72.8162,18.9879,30,4,2,2,1,1.46,1.07,7.2638000000000025
72.8223,19.0306,2,3,1,1,1,2.64,1.8,12.1276
72.8436,18.9039,13,3,1,1,1,2.35,2.14,6.3034
72.8739,19.0005,18,4,2,2,2,5.87,3.98,12.931700000000005
72.8823,18.909,6,3,2,2,1,0.14,0.1,9.829600000000006
72.8694,19.0148,8,3,2,2,0,3.2,2.6,13.059700000000003
72.7877,18.9005,8,3,2,2,2,3.07,2.53,8.612899999999998
72.7997,19.062,11,3,1,1,2,2.41,2.99,5.960799999999997
72.8139,19.0269,11,2,1,1,2,0.11,0.1,5.692600000000003
72.8489,18.8933,23,2,1,1,1,1.71,1.41,4.307800000000004
72.7963,18.959,5,3,2,2,2,4.63,4.92,7.0744
72.8064,18.9877,45,5,3,3,0,3.17,2.51,5.108599999999999
72.8988,19.0656,2,3,1,1,2,0.82,0.75,15.143999999999991
72.8827,18.9095,38,2,1,1,0,2.82,3.37,2.5186999999999995
72.8994,18.8775,15,4,3,4,2,1.96,1.57,12.575800000000008
72.8286,18.9302,13,3,2,2,0,4.04,4.14,6.478900000000002
72.8675,18.909,2,3,2,2,0,4.08,2.83,7.254400000000005
72.8787,18.9989,10,3,1,1,2,2.21,2.45,11.789199999999992
72.851,19.0644,8,3,2,2,1,0.96,0.96,16.311799999999998
72.89,18.8708,19,3,1,1,1,2.14,1.66,5.485599999999998
72.8301,19.0565,34,4,2,2,0,1.47,1.6,10.637199999999998
72.8478,18.9752,19,3,1,1,1,1.45,1.33,9.792900000000001
72.8262,19.0414,8,2,1,1,1,4.78,3.26,7.855599999999995
72.894,18.9985,39,3,2,2,2,4.0,4.87,8.873500000000003
72.7898,18.9576,6,3,2,2,1,0.11,0.13,10.069299999999997
72.8739,19.0034,1,4,2,2,1,0.44,0.46,22.153800000000004
72.7897,18.9673,18,3,2,2,1,1.54,1.48,7.518499999999998
72.8748,18.9523,25,4,2,2,0,0.11,0.1,15.340700000000004
72.8095,18.9821,39,2,1,1,0,3.79,3.53,2.353400000000001
72.8503,19.0125,3,2,1,1,0,1.84,1.84,8.369100000000001
72.8526,18.8918,11,4,2,3,0,3.63,3.22,7.5674999999999955
72.7958,18.9696,8,4,3,3,1,10.53,8.23,5.1475
72.8623,18.9491,0,3,1,1,2,2.84,2.05,7.407399999999998
72.893,18.961,33,3,2,2,2,0.37,0.25,11.970700000000008
72.8302,19.0371,1,3,2,2,0,2.56,2.16,14.189799999999996
72.8915,18.9497,21,3,2,2,0,3.85,2.94,6.2853999999999965
72.8911,18.982,5,4,2,2,1,0.82,0.91,20.501800000000017
72.8665,18.9806,6,4,3,4,2,2.49,1.98,24.512400000000017
